controller,delay_samples,delay_ms,overshoot_pct,settling_time,e_rms,e_peak,tau_rms,tau_peak,I_rms,heat_energy,stable
pid,0,0,6.94535725286893,1.717,0.183578713441499,1,0.33861849987219,1.5,4.23273124840237,43.0199323849095,1
pid,1,1,6.92592871109232,1.729,0.184855895650907,1,0.342208888213183,1.5,4.27761110266478,43.9370537350215,1
pid,2,2,6.90258045390435,1.742,0.18612498787532,1,0.346046395598424,1.5,4.3255799449803,44.9279932325667,1
pid,3,3,6.87521026113127,1.754,0.187386278193528,1,0.350161238305501,1.5,4.37701547881876,46.0028247190517,1
pid,4,4,6.84410096089245,1.767,0.188640070635265,1,0.354588591586404,1.5,4.43235739483004,47.1734759289325,1
pid,5,5,6.80975510924922,1.779,0.189886690658736,1,0.35936967838929,1.5,4.49212097986613,48.4541771328628,1
dob_pd,0,0,0.648513407482709,0.181,0.180876583458153,1,0.331621778908464,1.5,4.1452722363558,41.2604965307014,1
dob_pd,1,1,0.574779836765082,0.181,0.182096617057637,1,0.33512733531542,1.5,4.18909169144275,42.1374322653945,1
dob_pd,2,2,0.497593050865452,0.181,0.183308184617253,1,0.338882003077123,1.5,4.23602503846403,43.0869121933379,1
dob_pd,3,3,0.417214807734867,0.182,0.184511579149339,1,0.34291608945438,1.5,4.28645111817975,44.1188400483329,1
dob_pd,4,4,0.334134516700013,0.182,0.185707109216004,1,0.347264858028706,1.5,4.34081072535882,45.2449417734405,1
dob_pd,5,5,0.249560803957016,0.183,0.186895104339636,1,0.351969614367173,1.5,4.39962017958966,46.4792065284357,1
impedance,0,0,0,0.308,0.192364705345195,1,0.245404504313697,1.5,3.06755630392121,22.5950559085575,1
impedance,1,1,0,0.31,0.193299259031735,1,0.247617785424567,1.5,3.09522231780709,23.0044593533986,1
impedance,2,2,0,0.311,0.194228566657361,1,0.249934445015159,1.5,3.12418056268949,23.4369226569142,1
impedance,3,3,0,0.313,0.195152761862097,1,0.252363761285539,1.5,3.15454701606923,23.8947419040711,1
impedance,4,4,0,0.314,0.196071983911354,1,0.254916109211936,1.5,3.18645136514919,24.3805176926697,1
impedance,5,5,0,0.315,0.196986379061029,1,0.257603133231257,1.5,3.22003916539072,24.8972077266323,1
