case_name,bandwidth_hz,phase_margin_deg,design_delay_us,sim_delay_us,kp,ki,pi_phase_lag_deg,pole_cancel_pm_deg,square_stable,square_rmse_a,square_max_abs_error_a,square_iq_peak_pos_a,square_iq_peak_neg_a,square_voltage_norm_max,step_stable,step_overshoot_ratio,step_settling_time_ms,step_final_iq_a,score
1620_1200hz_pm60_td075us,1200,60,75,50,0.249038891971979,7467.74255537688,75.8859872214174,57.6,1,0.222943658824982,0.608946969041496,0.430252745353179,-0.439353475277252,0.0721164309074577,1,0.222290984114244,0.685,1.50000000001248,0.256864902951068
1620_1200hz_pm60_td075us,1200,60,75,75,0.249038891971979,7467.74255537688,75.8859872214174,57.6,1,0.225682813236685,0.622262998593828,0.483879283313895,-0.502944183369751,0.0827045477936003,1,0.31664305632157,0.991,1.4999999920025,0.279803770653807
1620_1200hz_pm60_td075us,1200,60,75,100,0.249038891971979,7467.74255537688,75.8859872214174,57.6,1,0.26014108305757,0.632683164057136,0.695662049378668,-0.716801974594106,0.117367969248761,0,0.580410879220881,2.12,1.50006284316476,5.48589660765735
1620_1200hz_pm65_td075us,1200,65,75,50,0.334413767919854,7275.67241709422,70.8859872214174,57.6,1,0.209419344188661,0.602381300666936,0.383663535526862,-0.386144638674241,0.0629195104719056,1,0.139812717236185,0.417,1.5,0.229419344188661
1620_1200hz_pm65_td075us,1200,65,75,75,0.334413767919854,7275.67241709422,70.8859872214174,57.6,1,0.209921651944073,0.607265970116561,0.434536516369499,-0.443203049794641,0.0723642439108343,1,0.22188452811223,0.689,1.50000000000056,0.225469565176901
1620_1200hz_pm65_td075us,1200,65,75,100,0.334413767919854,7275.67241709422,70.8859872214174,57.6,1,0.227987399240749,0.613729016299452,0.599501406377725,-0.635851217985739,0.104036293362788,1,0.481201999726464,1.623,1.5000075174784,0.393269924045058
1620_1200hz_pm70_td075us,1200,70,75,50,0.417243553169305,7028.23001854637,65.8859872214174,57.6,1,0.196926068364356,0.600254200224034,0.335537823728953,-0.335741390751536,0.0542986020452977,1,0.0593239326933808,0.361,1.5,0.216926068364356
1620_1200hz_pm70_td075us,1200,70,75,75,0.417243553169305,7028.23001854637,65.8859872214174,57.6,1,0.196553108240285,0.599010001066104,0.385541253510569,-0.387634525167555,0.062791488029204,1,0.143503706957514,0.408,1.5,0.196553108240285
1620_1200hz_pm70_td075us,1200,70,75,100,0.417243553169305,7028.23001854637,65.8859872214174,57.6,1,0.204266953462398,0.590974550080586,0.529296944112705,-0.558324933985993,0.0906704047151689,1,0.38652106612792,1.007,1.49999989376275,0.316025095614118
1620_1500hz_pm60_td075us,1500,60,75,50,0.437076903014392,8821.80752788014,64.969725368674,49.5,1,0.192957543997466,0.587050920764096,0.430558547318814,-0.431298064567727,0.0715603877755029,1,0.225906391555548,0.555,1.50000000000001,0.225328866374775
1620_1500hz_pm60_td075us,1500,60,75,75,0.437076903014392,8821.80752788014,64.969725368674,49.5,1,0.194571996194822,0.55586148966336,0.481744681843924,-0.491495230547844,0.0813620643873805,1,0.328803215311027,0.826,1.50000000041252,0.248933782500932
1620_1500hz_pm60_td075us,1500,60,75,100,0.437076903014392,8821.80752788014,64.969725368674,49.5,1,0.217652333606588,0.528225919780281,0.622394226421322,-0.713635635502657,0.118089668605278,0,0.666952670312687,2.398,1.5005350820926,5.44989547356955
1620_1500hz_pm65_td075us,1500,65,75,50,0.516993460165745,8429.21263718806,59.969725368674,49.5,1,0.181630394279713,0.599203986112197,0.385914742502128,-0.385269671043109,0.0628850710744489,1,0.143682770350961,0.313,1.5,0.201630394279713
1620_1500hz_pm65_td075us,1500,65,75,75,0.516993460165745,8429.21263718806,59.969725368674,49.5,1,0.184743723099191,0.586115626933682,0.443339274707842,-0.444223152485653,0.0732825466543591,1,0.248675543965421,0.557,1.49999999999994,0.20225620853789
1620_1500hz_pm65_td075us,1500,65,75,100,0.516993460165745,8429.21263718806,59.969725368674,49.5,1,0.202001166247237,0.517222699065144,0.569139411263084,-0.641788396292513,0.105535293655884,0,0.565152155230839,1.672,1.4999846725589,5.38341076656607
1620_1500hz_pm70_td075us,1500,70,75,50,0.59297538491605,7972.46634862923,54.969725368674,49.5,1,0.170950722924254,0.601399165295002,0.339703033232044,-0.339703033231181,0.057234276304313,1,0.0656738165251255,0.307,1.5,0.190950722924254
1620_1500hz_pm70_td075us,1500,70,75,75,0.59297538491605,7972.46634862923,54.969725368674,49.5,1,0.17514621037211,0.601503486718481,0.401000740891529,-0.399705158917438,0.0651578296848242,1,0.168161788376486,0.455,1.5,0.175346358550416
1620_1500hz_pm70_td075us,1500,70,75,100,0.59297538491605,7972.46634862923,54.969725368674,49.5,1,0.191534477086056,0.537659096486506,0.536936090231625,-0.565383208747421,0.092044070868017,1,0.46468930701277,1.252,1.50000010977005,0.325896663635058
