case_name,B_nm_s_per_rad,iq_limit_a,no_load_speed_limit_rad_s,ideal_B0_accel_time_ms,exit_saturation_ms,saturated_time_ms,reach_98pct_ms,final_speed_rad_s,final_error_rad_s,max_iq_ref_a,final_iq_ref_a,saturated_at_end
B0_pure_inertia,0,0.02,Inf,13.7734788540246,9.5,10,16.5,40.0000947244953,-9.47244952911319e-05,0.02,-7.60124749276733e-08,0
B0_pure_inertia,0,0.05,Inf,5.50939154160982,1.5,2,8,40.0001033383043,-0.000103338304327849,0.05,-8.34669713799194e-08,0
B0_pure_inertia,0,0.1,Inf,2.75469577080491,0,0,7.5,40.0001039856623,-0.000103985662327943,0.0692330580204725,-8.40272029529651e-08,0
B0_pure_inertia,0,0.4949,Inf,0.556616643929059,0,0,7.5,40.0001039856623,-0.000103985662327943,0.0692330580204725,-8.40272029529651e-08,0
B0_pure_inertia,0,1.4847,Inf,0.185538881309686,0,0,7.5,40.0001039856623,-0.000103985662327943,0.0692330580204725,-8.40272029529651e-08,0
B0_pure_inertia,0,4,Inf,0.0688673942701228,0,0,7.5,40.0001039856623,-0.000103985662327943,0.0692330580204725,-8.40272029529651e-08,0
B_setup_template,0.0001,0.02,0.987404862935273,13.7734788540246,120,120.5,NaN,0.987404862935273,39.0125951370647,0.02,0.02,1
B_setup_template,0.0001,0.05,2.46851215733818,5.50939154160982,120,120.5,NaN,2.46851215733818,37.5314878426618,0.05,0.05,1
B_setup_template,0.0001,0.1,4.93702431467637,2.75469577080491,120,110.5,NaN,4.93702431467637,35.0629756853236,0.1,0.1,1
B_setup_template,0.0001,0.4949,24.4333333333333,0.556616643929059,0,0,NaN,19.6500298535527,20.3499701464473,0.398707922153527,0.398707922153527,0
B_setup_template,0.0001,1.4847,73.3,0.185538881309686,0,0,NaN,19.6500298535527,20.3499701464473,0.398707922153527,0.398707922153527,0
B_setup_template,0.0001,4,197.480972587055,0.0688673942701228,0,0,NaN,19.6500298535527,20.3499701464473,0.398707922153527,0.398707922153527,0
