kaw,kaw_ts,anti_windup_tau_ms,pre_release_iq_a,integrator_at_release_v,exit_saturation_ms,settling_ms,iq_peak_after_release_a,iq_min_after_release_a,iq_final_a,vq_abs_max_v,voltage_norm_max,post_release_sat_time_ms,score
0,0,Inf,2.1488275862069,299.211606498743,NaN,NaN,2.1488275862069,2.1488275862069,2.1488275862069,6.2316,1,22.005,244.01
100,0.005,10,2.1488275862069,207.980116055827,9.355,9.555,2.1488275862069,1.5,1.5,6.2316,1,9.355,37.62
200,0.01,5,2.1488275862069,152.148625003513,5.905,6.06,2.1488275862069,1.5,1.5,6.2316,1,5.905,23.775
400,0.02,2.5,2.1488275862069,93.2319760615088,3.255,3.425,2.1488275862069,1.5,1.5,6.2316,1,3.255,13.19
800,0.04,1.25,2.1488275862069,50.5902630340111,1.655,1.815,2.1488275862069,1.5,1.5,6.2316,1,1.655,6.78
1200,0.06,0.833333333333333,2.1488275862069,35.2316809666778,1.055,1.26,2.1488275862069,1.5,1.5,6.2316,1,1.055,4.425
2000,0.1,0.5,2.1488275862069,22.8921507688714,0.605000000000001,0.81,2.1488275862069,1.5,1.5,6.2316,1,0.605,2.625
5000,0.25,0.2,2.1488275862069,11.7851172413793,0.205,0.405000000000001,2.1488275862069,1.5,1.5,6.2316,1,0.205,1.02
10000,0.5,0.1,2.1488275862069,8.0827724137931,0.105000000000001,0.26,2.1488275862069,1.5,1.5,6.2316,1,0.105,0.575000000000001
20000,1,0.05,2.1488275862069,6.2316,0.0049999999999998,0.165,2.1488275862069,1.5,1.5,6.2316,1,0.005,0.18
